,title,link,pre_text,firm,id,date
10,민주당은 왜 계속 지네 정책을 실험하는가,https://www.teamblind.com/kr/post/%EB%AF%BC%EC%A3%BC%EB%8B%B9%EC%9D%80-%EC%99%9C-%EA%B3%84%EC%86%8D-%EC%A7%80%EB%84%A4-%EC%A0%95%EC%B1%85%EC%9D%84-%EC%8B%A4%ED%97%98%ED%95%98%EB%8A%94%EA%B0%80-7oy7i7ld,사람들의 일상을 무너뜨리는 사회실험을 반복하네,KT , I*********,2025-07-02
11,분양아파트 실거주 생각 없으면 월세가 나은가?,https://www.teamblind.com/kr/post/%EB%B6%84%EC%96%91%EC%95%84%ED%8C%8C%ED%8A%B8-%EC%8B%A4%EA%B1%B0%EC%A3%BC-%EC%83%9D%EA%B0%81-%EC%97%86%EC%9C%BC%EB%A9%B4-%EC%9B%94%EC%84%B8%EA%B0%80-%EB%82%98%EC%9D%80%EA%B0%80-s33mkdeo,"잔금대출로 잔금 치룰 여력 되는데 그러면 그냥 월세가 나은거지? 전세퇴거대출 1억 밖에 안된대서, 실거주 생각 없어도 매도하기 쉽지 않을거 같은데 (비규지지역임)",크래프톤 , g********,2025-07-02
12,대출규제로 부동산 무조건 하락 너무무섭다,https://www.teamblind.com/kr/post/%EB%8C%80%EC%B6%9C%EA%B7%9C%EC%A0%9C%EB%A1%9C-%EB%B6%80%EB%8F%99%EC%82%B0-%EB%AC%B4%EC%A1%B0%EA%B1%B4-%ED%95%98%EB%9D%BD-%EB%84%88%EB%AC%B4%EB%AC%B4%EC%84%AD%EB%8B%A4-gkfz1vu7,전용45 13.5억 전용 59 18.3~19.9억,엔지니어링공제조합 , i*****,2025-07-02
13,멍청한질문 하나만 하겠슴,https://www.teamblind.com/kr/post/%EB%A9%8D%EC%B2%AD%ED%95%9C%EC%A7%88%EB%AC%B8-%ED%95%98%EB%82%98%EB%A7%8C-%ED%95%98%EA%B2%A0%EC%8A%B4-hnfgjmcx,디딤돌로 3억짜리 매수하려는데 생애최초 2.4억이 한도면 2.4억 대출에 내 돈 6천 잔금치르고 매매하는거? 아님 2.4억의 70% 금액인 1억 6천가량을 빌려주고 나머지 돈은 내돈으로 하는거? 빠가사리 구제좀ㅠㅠ,새회사 , 맥*****,2025-07-02
14,앞으로 발생하게 될일.,https://www.teamblind.com/kr/post/%EC%95%9E%EC%9C%BC%EB%A1%9C-%EB%B0%9C%EC%83%9D%ED%95%98%EA%B2%8C-%EB%90%A0%EC%9D%BC-nh1pw0wq,"전세 세입자 구할때 대출 안하는 세입자 구하려고 전세 시세보다 깎아줌. (최저가는 대출없는 세입자 구해요 네이버 부동산에 붙어있음) 기존 대출로 전세 들어간 세입자는 집주인이 매매 의사가 있으면 재 계약 거절되면서 월세 or 더 가격이 저렴한 같은 지역 빌라나 다른 지역을 보게됨. (계약갱신청구권 분쟁 발생 동반) 전세로인한 가계 대출 비율이 줄어들고 고가 전세는 대출없는 세입자 구하려고 경쟁, 안그래도 낮은 전세가율이 더 낮아짐 이 모든 것은 가계부채 우량화와 고가주택 가격조정이 발생, 경기도권에 전월세 시장이 약간 활성",한화시스템 , l*********,2025-07-02
15,사회초년생인데요,https://www.teamblind.com/kr/post/%EC%82%AC%ED%9A%8C%EC%B4%88%EB%85%84%EC%83%9D%EC%9D%B8%EB%8D%B0%EC%9A%94-2ikh0jb1,일 시작한지 4개월이라 마통 1억+2천만원이 전재산입니다 기회조차 없었는데 상황이 이렇게 되어서 맘이 조급한데요 지금이라도 6억 풀로 땡겨서 되는거 사야할까요?,한의사 , i********,2025-07-02
16,앞으로 재건축 재개발 호재야 악재야?,https://www.teamblind.com/kr/post/%EC%95%9E%EC%9C%BC%EB%A1%9C-%EC%9E%AC%EA%B1%B4%EC%B6%95-%EC%9E%AC%EA%B0%9C%EB%B0%9C-%ED%98%B8%EC%9E%AC%EC%95%BC-%EC%95%85%EC%9E%AC%EC%95%BC-k00yxrgd,"오늘 진성준이 재건축재개발 관련해서 이야기 했다는데, 재건축 재개발 어떻게 생각해? https://naver.me/F8umpShr (관련 기사 내용)",한국능률협회컨설팅 , 스*****,2025-07-02
17,전세자금대출 알아보러갔다 거의 수모당하다 시피했네 ㅠㅠ,https://www.teamblind.com/kr/post/%EC%A0%84%EC%84%B8%EC%9E%90%EA%B8%88%EB%8C%80%EC%B6%9C-%EC%95%8C%EC%95%84%EB%B3%B4%EB%9F%AC%EA%B0%94%EB%8B%A4-%EA%B1%B0%EC%9D%98-%EC%88%98%EB%AA%A8%EB%8B%B9%ED%95%98%EB%8B%A4-%EC%8B%9C%ED%94%BC%ED%96%88%EB%84%A4-%E3%85%A0%E3%85%A0-0d7f2q8a,청년전세자금 받으러 은행갔는데 이런 정책자금들은 행원분한테 거의 실적 안되는건 나도 알아서 인사드리고 정말 공손하게 여쭤보는데 ㅠㅠ 나보다 형인것 같긴한데 반말 섞어가면서 이런 대출은 은행에 역마진 되는 상품이야~ 취급해주는것만으로도 엄청 고마워해야한다면서 대신 무슨 파생상품이나 IRP 같은 상품 가입해줘야 하지 않겠어? 아니겠어? 하는데 돈이 없으니 예...예... 하다가 왔다... 결국 대출받으면서 무슨 연금이랑 이런거 다 가입하기로 했는데 진짜 돌아오면서 너무 서러웠어 ㅠㅠ,아이에스동서 , v*********,2025-07-02
18,무주택은 국평오&정신병,https://www.teamblind.com/kr/post/%EB%AC%B4%EC%A3%BC%ED%83%9D%EC%9D%80-%EA%B5%AD%ED%8F%89%EC%98%A4%EC%A0%95%EC%8B%A0%EB%B3%91-m5d6on1m,- 전세가 없어져야한다고 생각 = 집값폭등 주범 -> 월세로 살아라 - 집값은 떨어져야 한다고 생각 -> 집값떨어지면 집을 왜사냐? 그럼 신축공급은 이제 올스톱이고 건설경기 침체 - 다주택자는 적폐다 -> 니가 사는 월세 전세집 나라가 주는거? - 사회초년생 제외 30대후반 이상 무주택 -> 노무현~문재인 시기까지 집살기회 많았는데 아직도 무주택인거면 뭔 생각으로 사는거냐? - 주식이 수익률 좋다? -> 주식에 대출 5억박고 푸근하게 잘수있냐? - 영끌 -> ㅅㅂ dsr40%에 ltv 70% 고작나오는데 영끌은 상상속동물,지마켓 , i********,2025-07-02
19,인테리어 중 집 방문했는데 벽지 잘못발라놨네,https://www.teamblind.com/kr/post/%EC%9D%B8%ED%85%8C%EB%A6%AC%EC%96%B4-%EC%A4%91-%EC%A7%91-%EB%B0%A9%EB%AC%B8%ED%96%88%EB%8A%94%EB%8D%B0-%EB%B2%BD%EC%A7%80-%EC%9E%98%EB%AA%BB%EB%B0%9C%EB%9D%BC%EB%86%A8%EB%84%A4-5chlilzc,올해 초 영끌했던 아파트 인테리어 마무리 되가는데 어제 도배 마무리해서 잘됐나 보려고 집에 가봤더니 벽지를 다른걸 발라놓으셨네. 내가 품번까지 다 정리해서 여러번 보내드리고 만나서도 언급했는데 나에게 왜이러는걸까.. 이틀동안 작업한건데 이거 다시하는거 별일 아닌가? 이런 경험 있는 분 계신가요ㅜㅜ 멘붕입니다.. 새로나온 디아망 포티스 요청했는데 회벽을 발라놨습니다,약사 , l*********,2025-07-02
20,전세반환대출 1억 제한으로 인한 영향,https://www.teamblind.com/kr/post/%EC%A0%84%EC%84%B8%EB%B0%98%ED%99%98%EB%8C%80%EC%B6%9C-1%EC%96%B5-%EC%A0%9C%ED%95%9C%EC%9C%BC%EB%A1%9C-%EC%9D%B8%ED%95%9C-%EC%98%81%ED%96%A5-z1u7ty51,기존 계약한 임대인 입장에서 나중에 돈 모아서 실거주로 대출 받아 들어오려면 지금 임차인 나간다고 하면 ㅈㄴ 불리해지는거 아님?,공무원 , j********,2025-07-02
21,7억자가 갈아타기,https://www.teamblind.com/kr/post/7%EC%96%B5%EC%9E%90%EA%B0%80-%EA%B0%88%EC%95%84%ED%83%80%EA%B8%B0-jirknbkp,안녕하세요. 저는 현재 7억대(주담대 2억 껴있음) 자가가 있는데 결혼 후 9억후반~10억초정도 되는 집으로 갈아타기하려고 합니다. 저와 결혼하는 친구는 현금 2억정도 보유하고 있고 저는 현금이 천만원정도 밖에 없는 상황입니다. 연봉은 둘이 합쳐 1.5~1.7억정도 되고 현재 주담대로는 최대 6억밖에 대출이 안되는것으로 알고 있는데 이런경우 어떻게 더 큰집으로 갈아타기를 해야할까요? 주변에 부동산에 대해 자문을 구할 사람이 없어 블라인드에 물어봅니다,분당서울대병원 , 동****,2025-07-02
22,627 대책이 집값을 잡는다?,https://www.teamblind.com/kr/post/627-%EB%8C%80%EC%B1%85%EC%9D%B4-%EC%A7%91%EA%B0%92%EC%9D%84-%EC%9E%A1%EB%8A%94%EB%8B%A4-o7acmtqv,필자는 거래량만 줄이는 임시방편일뿐 근본적 대책은 아니다에 한표 22년 말쯤 폭락했던 때부터 지금까지 수도권 중상급지 단지들 급등한 상태라는건 누구나 알고 있는 팩트 하지만 왜 올랐을까 생각해보면 대부분 실거주자들이 올린 시장임 강남 3구같은 상급지들 매수자들 수소문해보면 되려 대출비중이 생각보다 높지 않음 그말은 고소득자여서 감당가능하다는 반증임 지금은 자금력되는 다주택자들도 추가 매수하기 매우 부담스러운 상황이라 보유물건을 팔고서 매수할 생각을 하지 그냥 더 매수할려고 달려들지 않는 시장임 무주택자들이 현재 이런 상황을,NH농협은행 , i*******,2025-07-02
23,존나 착각하고 있는게 부동산 가격 따위 보다,https://www.teamblind.com/kr/post/%EC%A1%B4%EB%82%98-%EC%B0%A9%EA%B0%81%ED%95%98%EA%B3%A0-%EC%9E%88%EB%8A%94%EA%B2%8C-%EB%B6%80%EB%8F%99%EC%82%B0-%EA%B0%80%EA%B2%A9-%EB%94%B0%EC%9C%84-%EB%B3%B4%EB%8B%A4-u1zik4ec,부채가 넘 많은게 젤 심각한거고 정부는 가계부채 조절을 진짜 위험한 수준이라 필요한 만큼만 적절히 제어 하는건데 니깟게 집이 있던 없던 영끌을 했던 말던 그딴거 중요한거 일도 아님 우리나라 부채가 전부 부동산에 몰빵 되어 있어서 그런거지 그 동안 너무 과열 됐었음 불패니 뭐니 해서 부동산은 주거랑 실거주로 가져가고 투자는 이제 주식임,NH농협은행 , i*********,2025-07-02
24,"다주택자는 보증금 줄이고 반전세, 월세화를 통하여 민주당 장기집권에 대비 해야함",https://www.teamblind.com/kr/post/%EB%8B%A4%EC%A3%BC%ED%83%9D%EC%9E%90%EB%8A%94-%EB%B3%B4%EC%A6%9D%EA%B8%88-%EC%A4%84%EC%9D%B4%EA%B3%A0-%EB%B0%98%EC%A0%84%EC%84%B8-%EC%9B%94%EC%84%B8%ED%99%94%EB%A5%BC-%ED%86%B5%ED%95%98%EC%97%AC-%EB%AF%BC%EC%A3%BC%EB%8B%B9-%EC%9E%A5%EA%B8%B0%EC%A7%91%EA%B6%8C%EC%97%90-%EB%8C%80%EB%B9%84-%ED%95%B4%EC%95%BC%ED%95%A8-dno82rjt,"이번 규제 약빨이 언제까지 갈지 모르겠는데 단기조정 후 다시 튀어올라도 현정권 대응 강도가 문재인때랑 다를거임 무슨 미친 짓을 할지, 그 미친 규제가 언제까지 갈지 예상불가함(우리나라 인구구조상 조국사태 같은 임팩트있는 사건이 없으면 민주당으로 기울어진 운동장임) 민주당이 입법,행정 다먹고 사실상 사법도 먹은 상황에서 정상적인 정책 입법을 기대할수없음 특히 노무현때 정권 날리고 10년만에 재집권했을때와 달리 지금 민주당은 3년만에 재집권이라 문재인때 부동산 정책 실패의 결과를 명확히 기억하고 있는데 그 해결책은 재건축, 재개발",분당서울대병원 , 불*****,2025-07-02
25,"공개제한
일부 유저에게 공개가 제한된 게시물입니다.",,아이템이 적용되어 일부 유저에게 공개가 제한되었습니다. 공개 대상에 해당하는 경우 볼 수 있습니다.,****** , *****,2025-07-02
